Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
6280,2.274,28656,21860,14242,22211,-0.109143,-0.0489586,-0.244202
6300,2.491,28638,21843,14222,22189,-0.0983915,-0.0297331,-0.344071
6320,2.745,28622,21827,14205,22169,-0.0174903,-0.0135167,-0.20097
6340,2.929,28608,21814,14189,22150,0.0404,0.0142312,0.102367
6360,2.973,28596,21802,14175,22134,0.0357524,0.0282981,0.150489
6380,2.888,28586,21792,14164,22120,-0.0272033,0.0286902,0.0813535
6400,2.727,28577,21784,14154,22108,-0.0621083,0.0322596,0.0165534
6420,2.542,28569,21776,14145,22097,-0.0367601,0.0312481,0.028714
6440,2.369,28560,21769,14138,22089,0.00744757,0.0363744,0.277929
6460,2.253,28551,21762,14131,22081,0.0182072,0.0367151,0.344102
6480,2.181,28541,21754,14125,22074,-0.00630619,0.0235172,0.386562
6500,2.152,28530,21746,14119,22069,-0.0920815,0.00136577,0.0898905
6520,2.13,28518,21738,14113,22063,-0.0757535,-0.0241178,-0.020768
6540,2.11,28506,21731,14108,22059,-0.0452058,-0.0283119,0.0818911
6560,2.137,28494,21723,14105,22057,-0.0603614,-0.0211997,-0.0202364
6580,2.191,28484,21717,14103,22055,-0.0312044,-0.0138383,-0.0625425
6600,2.263,28476,21713,14102,22056,-0.0814239,-0.0177432,-0.13639
6620,2.29,28472,21712,14105,22060,-0.0440821,-0.0195679,-0.276445
6640,2.307,28471,21713,14109,22066,0.0288295,-0.0222795,-0.164389
6660,2.288,28474,21717,14116,22074,0.0582822,-0.00582205,0.130915
6680,2.282,28480,21723,14125,22084,0.0456365,0.01733,0.0947753
6700,2.258,28489,21731,14135,22096,-0.00431507,0.0319524,-0.15835
6720,2.204,28500,21740,14146,22109,0.0180966,0.0314119,-0.153869
6740,2.146,28511,21749,14157,22121,0.0365115,0.0165633,-0.104027
6760,2.123,28521,21758,14168,22133,0.0639283,0.0124746,0.0608255
6780,2.125,28530,21765,14176,22142,0.0642899,0.00832761,0.274066
6800,2.116,28535,21769,14183,22149,0.00967512,0.0126507,0.296723
6820,2.124,28536,21770,14187,22153,-0.0471208,0.0154816,0.16901
6840,2.139,28533,21769,14188,22153,-0.0326157,0.00585712,0.165821
6860,2.155,28526,21764,14187,22150,-0.0217619,0.00639182,0.150321
6880,2.158,28515,21756,14183,22145,-0.00805636,0.00387914,0.242902
6900,2.181,28502,21747,14178,22138,-0.0730811,-0.00424461,0.0712222
6920,2.169,28488,21736,14173,22130,-0.121547,-0.0150446,-0.0845835
6940,2.159,28475,21727,14168,22122,-0.0808901,-0.0310624,-0.0688975
6960,2.177,28464,21718,14164,22116,-0.0759035,-0.0376199,-0.138472
6980,2.197,28455,21712,14162,22112,-0.0510582,-0.0308129,-0.220391
7000,2.215,28451,21708,14163,22112,0.00707235,-0.0323653,-0.178542
7020,2.279,28451,21708,14166,22115,-0.00414605,-0.0240204,-0.22621
7040,2.509,28455,21711,14172,22121,-0.0136254,-0.0219897,-0.381686
7060,2.786,28462,21716,14180,22130,0.0282284,-0.0176084,-0.3
7080,2.994,28473,21724,14190,22141,0.0595944,-0.00923922,-0.192738
7100,3.034,28484,21732,14200,22153,0.122294,0.0173,-0.106808
7120,2.964,28494,21740,14210,22165,0.160003,0.0350123,0.0974477
7140,2.784,28503,21747,14218,22176,0.133381,0.047601,0.144983
7160,2.587,28508,21751,14223,22183,0.107559,0.0482919,0.00540634
7180,2.426,28509,21751,14225,22187,0.10188,0.0373662,0.126355
7200,2.324,28504,21748,14223,22186,0.0664335,0.0409709,0.0686853
7220,2.261,28495,21741,14218,22181,0.0685293,0.0366991,0.0936864
7240,2.236,28480,21729,14208,22171,0.0100959,0.0204061,0.249129
7260,2.212,28462,21715,14196,22158,-0.00408102,-0.00315485,0.137583
7280,2.197,28441,21699,14182,22141,-0.0228611,-0.0168449,0.133605
7300,2.197,28419,21681,14166,22123,-0.0750563,-0.0209655,0.153624
