Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
5700,2024,25365,15278,21639,15120,-0.00641633,0.0313707,-0.00957367
5720,2024,25361,15274,21641,15125,-0.0746269,-0.0968161,-0.25547
5740,2024,25363,15275,21647,15135,-0.0324813,-0.162209,-0.404489
5760,2024,25373,15282,21659,15148,0.084677,-0.110647,-0.0897874
5780,2024,25391,15294,21678,15167,0.0718037,-0.0395029,0.00488822
5800,-1995,25416,15310,21701,15188,0.0691325,-0.0618202,-0.287347
5820,-2017,25446,15330,21726,15211,-0.0418661,-0.183407,-0.489425
5840,-2017,25476,15351,21750,15230,0.0172277,-0.0840148,-0.170056
5860,-2017,25501,15369,21767,15241,0.0995596,-0.0362748,-0.00423484
5880,-2021,25524,15384,21779,15248,0.0279371,0.0422987,-0.0757485
5900,-2022,25546,15398,21793,15257,0.0260823,0.141932,0.119413
5920,-2017,25568,15412,21810,15269,-0.0297041,0.00955847,0.0904888
5940,-2022,25585,15424,21823,15277,-0.0240685,0.0076101,0.0303696
5960,-2022,25598,15433,21831,15280,0.0338286,0.0501168,0.342648
5980,-2017,25602,15437,21832,15276,0.0216107,0.140454,0.261542
6000,-2017,25592,15432,21820,15262,-0.0321781,0.205685,0.225554
6020,-2022,25567,15417,21795,15237,-0.006678,0.0764986,0.0566668
6040,-2022,25533,15395,21765,15210,-0.00197103,-0.0250301,-0.0600696
6060,-2017,25496,15372,21737,15189,0.0196123,0.0269472,0.388212
6080,-2017,25461,15350,21714,15172,-0.0321599,0.0746364,0.329234
6100,-2022,25427,15330,21695,15156,-0.141497,-0.00123635,-0.00997228
6120,-2022,25395,15313,21677,15140,-0.0724076,-0.161692,-0.102121
6140,-2017,25362,15294,21657,15121,-0.0184607,-0.178552,-0.0577035
6160,-2022,25326,15275,21633,15099,0.0683321,0.0344116,0.211073
6180,-2022,25291,15255,21610,15080,0.0406571,0.0074068,-0.118924
6200,-2017,25261,15238,21595,15067,-0.0344407,-0.0670842,-0.316874
6220,-2017,25241,15228,21589,15061,-0.0156087,-0.20524,-0.279072
6240,-2017,25233,15227,21595,15062,-0.00483288,-0.253252,-0.238156
6260,-2017,25237,15235,21611,15068,0.0397434,-0.0252695,-0.00159166
6280,-2017,25246,15246,21626,15071,-0.0254312,0.042479,-0.140762
6300,-2017,25253,15256,21633,15065,-0.0451585,0.148276,0.13485
6320,-2017,25256,15262,21632,15055,0.0300173,-0.0638454,-0.0738832
6340,-2017,25258,15264,21630,15046,0.0603381,-0.096573,-0.247249
6360,1963,25258,15265,21627,15037,-0.00540527,0.0124358,0.196725
6380,2047,25254,15265,21619,15023,-0.104589,0.0849579,0.0223173
6400,2031,25250,15263,21607,15005,-0.0479482,0.137222,0.263889
6420,2031,25243,15259,21592,14987,0.056867,-0.0746088,-0.227261
6440,2047,25231,15251,21570,14965,-0.00939819,-0.000500921,-0.091205
6460,2024,25211,15236,21540,14939,0.0316186,0.0301262,0.501539
6480,2024,25186,15216,21506,14914,-0.0507486,0.0475691,0.405042
6500,2024,25157,15193,21470,14890,-0.0765961,0.00847012,-0.00297394
6520,2024,25127,15170,21436,14869,-0.0395542,-0.122077,-0.338946
6540,2024,25100,15149,21407,14852,0.0159713,0.00713394,0.374078
6560,2024,25078,15132,21385,14841,0.142587,0.0402534,0.424998
6580,2024,25062,15119,21373,14838,-0.025439,0.0716169,-0.0249407
6600,2024,25054,15112,21370,14844,-0.086303,0.0485294,0.104258
6620,-2017,25054,15110,21377,14859,-0.110644,-0.0750005,0.0907728
6640,-1960,25062,15113,21394,14881,-0.107035,-0.135696,-0.0174218
6660,-2017,25078,15123,21420,14909,0.00829055,-0.0190233,0.0773082
6680,-2021,25101,15138,21455,14942,0.0323697,0.110015,-0.0273251
6700,-2017,25131,15159,21497,14979,-0.0447276,0.132932,0.0364591
6720,-2021,25166,15185,21545,15018,0.0298835,0.0267456,-0.270657
6740,-2022,25205,15212,21596,15058,-0.0075336,-0.122707,-0.365552
6760,-2022,25246,15242,21647,15098,0.0588845,0.0227058,-0.317788
6780,-2017,25288,15272,21697,15135,0.100244,0.0904457,-0.266882
6800,-2018,25327,15302,21741,15164,-0.011142,-0.0373546,-0.398675
6820,-2022,25361,15328,21777,15186,0.00927896,-0.0320949,-0.375186
6840,-2017,25388,15351,21804,15198,-0.00061852,-0.042703,-0.185313
6860,-2017,25408,15368,21820,15200,0.0381609,0.075636,0.1266
6880,-2022,25418,15379,21824,15191,-0.0265811,0.100449,0.0254725
6900,-2022,25419,15383,21815,15172,-0.027133,-0.0537149,-0.208412
6920,-2017,25410,15380,21795,15144,0.0173519,-0.0923456,-0.244823
6940,-2017,25391,15371,21763,15108,0.0287081,-0.0734409,-0.142159
6960,-2022,25364,15354,21721,15065,0.043995,0.0776336,0.225097
6980,-2017,25329,15332,21671,15017,0.0318906,0.109313,0.0546036
7000,-2017,25287,15305,21615,14965,-0.0407989,0.0211378,0.0958673
7020,-2022,25241,15274,21556,14913,0.0182347,-0.0870979,0.0432403
7040,-2022,25191,15240,21495,14861,-0.00530359,-0.128649,0.148655
7060,-2017,25141,15205,21435,14812,0.049053,0.0346562,0.385277
7080,-2018,25092,15171,21379,14768,0.0264944,0.140872,0.284292
7100,-2022,25047,15138,21329,14730,-0.0046944,0.0371286,0.10599
7120,-2021,24999,15104,21278,14693,0.03237,-0.0522376,0.0359879
7140,-2017,24966,15080,21245,14670,0.0778623,0.00670328,0.253076
7160,-2022,24940,15061,21221,14653,0.0246591,0.0888665,0.396296
7180,1859,24924,15048,21206,14644,-0.0376995,0.071753,0.0325883
7200,2047,24916,15042,21201,14642,-0.0964925,0.0331523,0.0658033
7220,2047,24919,15043,21207,14648,-0.0406606,0.0240753,0.0971891
7240,2031,24933,15052,21224,14662,0.0253793,-0.0264828,0.0863823
7260,2047,24956,15067,21250,14682,-0.00161911,0.041464,0.0435358
7280,2024,24987,15089,21283,14708,-0.0505733,0.0654006,-0.162702
7300,2024,25025,15115,21321,14737,-0.0491915,-0.014108,-0.238601
7320,2024,25068,15143,21363,14769,0.0434905,-0.155166,-0.426555
7340,2024,25114,15174,21409,14805,0.0824559,-0.166489,-0.401539
7360,2024,25163,15207,21456,14842,0.0825642,0.041834,-0.0687264
7380,2024,25212,15240,21505,14882,0.0148833,0.0728624,-0.0772488
7400,2024,25260,15272,21552,14920,-0.0403016,-0.0858453,-0.29241
